,endTime,artistName,trackName,msPlayed
0,2021-06-25 07:16,Soon E Mc,Sur le boulevard du rythm'funky,18134
1,2021-06-25 07:21,Lupe Fiasco,Superstar (feat. Matthew Santos),289000
2,2021-06-25 07:24,Prince,Partyman,191560
3,2021-06-25 07:31,Fatboy Slim,"Right Here, Right Now",387706
4,2021-06-25 07:31,Big Pun,The Dream Shatterer - Capital Punishment Mix,7529
5,2021-06-25 07:40,Mobb Deep,"Shook Ones, Pt. II",185968
6,2021-06-25 07:50,FT News Briefing,"Biden strikes infrastructure deal, Bitcoin’s plunge",583215
7,2021-06-26 07:16,Cardi B,Up,156944
8,2021-06-26 07:19,Drake,What’s Next,178153
9,2021-06-26 07:22,REASON,Show Stop,179233
10,2021-06-26 07:25,2 Chainz,Grey Area,171837
11,2021-06-26 07:28,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),202794
12,2021-06-26 07:31,Kid Cudi,Show Out (with Skepta & Pop Smoke),174960
13,2021-06-26 07:34,Migos,Need It,195680
14,2021-06-26 07:38,Young T & Bugsey,Don't Rush (feat. DaBaby),201960
15,2021-06-26 07:40,"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),130980
16,2021-06-26 07:51,Ty Dolla $ign,Spicy (feat. Post Malone),143375
17,2021-06-26 07:54,DJ Khaled,POPSTAR (feat. Drake),200221
18,2021-06-26 07:57,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,170232
19,2021-06-26 07:57,21 Savage,Runnin,30664
20,2021-06-26 14:44,SiR,D'Evils,0
21,2021-06-26 14:44,"Tyler, The Creator",MANIFESTO (feat. Domo Genesis),65758
22,2021-06-26 14:46,Knxwledge,makeitliveforever,0
23,2021-06-26 14:47,J Dilla,Yesterday,0
24,2021-06-26 14:53,Alex Isley,Mine,20224
25,2021-06-26 14:55,Mick Jenkins,Carefree,132028
26,2021-06-26 14:57,"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),88624
27,2021-06-26 14:59,"Tyler, The Creator",CORSO,146481
28,2021-06-26 15:01,"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),130980
29,2021-06-26 15:03,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),121572
30,2021-06-26 15:06,"Tyler, The Creator",LUMBERJACK,138312
31,2021-06-26 15:09,"Tyler, The Creator",HOT WIND BLOWS (feat. Lil Wayne),155292
32,2021-06-26 15:13,"Tyler, The Creator",MASSA,223718
33,2021-06-26 15:17,"Tyler, The Creator",RUNITUP (feat. Teezo Touchdown),229564
34,2021-06-26 15:20,"Tyler, The Creator",MANIFESTO (feat. Domo Genesis),175122
35,2021-06-26 15:30,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),588139
36,2021-06-26 15:31,"Tyler, The Creator",MOMMA TALK,70926
37,2021-06-26 15:35,"Tyler, The Creator",RISE! (feat. DAISY WORLD),203588
38,2021-06-26 15:36,"Tyler, The Creator",BLESSED,57667
39,2021-06-26 15:38,"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),146419
40,2021-06-26 15:47,"Tyler, The Creator",WILSHIRE,515865
41,2021-06-26 15:48,"Tyler, The Creator",SAFARI,101704
42,2021-06-27 08:41,"Tyler, The Creator",SAFARI,120325
43,2021-06-27 08:51,"Tyler, The Creator",SAFARI,40820
44,2021-06-28 07:10,"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),88624
45,2021-06-28 07:13,"Tyler, The Creator",CORSO,146481
46,2021-06-28 07:17,"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),130980
47,2021-06-28 07:20,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),208228
48,2021-06-28 07:23,"Tyler, The Creator",LUMBERJACK,138312
49,2021-06-28 07:25,"Tyler, The Creator",HOT WIND BLOWS (feat. Lil Wayne),155292
50,2021-06-28 07:29,"Tyler, The Creator",MASSA,223718
51,2021-06-28 07:33,"Tyler, The Creator",RUNITUP (feat. Teezo Touchdown),229564
52,2021-06-28 07:36,"Tyler, The Creator",MANIFESTO (feat. Domo Genesis),175122
53,2021-06-28 07:45,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),176183
54,2021-06-28 07:55,FT News Briefing,The Amazon wage effect,555490
55,2021-06-28 08:52,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),456751
56,2021-06-28 08:54,"Tyler, The Creator",MOMMA TALK,70926
57,2021-06-28 08:57,"Tyler, The Creator",RISE! (feat. DAISY WORLD),203588
58,2021-06-28 08:58,"Tyler, The Creator",BLESSED,57667
59,2021-06-28 09:00,"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),146419
60,2021-06-28 09:09,"Tyler, The Creator",WILSHIRE,515865
61,2021-06-28 09:12,"Tyler, The Creator",EARFQUAKE,13034
62,2021-06-28 09:12,"Tyler, The Creator",SAFARI,177742
63,2021-06-29 07:19,Luke James,all of your love,123251
64,2021-06-29 07:22,Anderson .Paak,JEWELZ,174213
65,2021-06-29 07:25,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),202040
66,2021-06-29 07:29,Ty Dolla $ign,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",231618
67,2021-06-29 07:31,Kanye West,Follow God,104591
68,2021-06-29 07:33,Freddie Gibbs,4 Thangs (feat. Big Sean & Hit-Boy),104911
69,2021-06-29 07:35,Jack Harlow,Tyler Herro,156497
70,2021-06-29 07:39,Young Stoner Life,Solid (feat. Drake),215693
71,2021-06-29 07:43,Drake,Laugh Now Cry Later (feat. Lil Durk),261492
72,2021-06-29 07:53,SAINt JHN,Gorgeous,151948
73,2021-06-29 08:05,FT News Briefing,The frontrunner to replace Angela Merkel talks the CDU and Germany’s economy,691997
74,2021-06-29 08:09,Saba,MOST,213344
75,2021-06-29 08:48,Saba,American Hypnosis (feat. Akenya),78100
76,2021-06-29 09:14,"Today, Explained",You know who kinda crushed Covid?,1574623
77,2021-06-29 09:16,"Today, Explained",The Kardashi-end,81806
78,2021-06-30 07:15,Cardi B,Up,6965
79,2021-06-30 07:17,Ty Dolla $ign,Spicy (feat. Post Malone),143375
80,2021-06-30 07:20,REASON,Show Stop,179233
81,2021-06-30 07:21,Kid Cudi,Show Out (with Skepta & Pop Smoke),46052
82,2021-06-30 07:22,French Montana,FWMGAB,1532
83,2021-06-30 07:22,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),53684
84,2021-06-30 07:26,Sada Baby,Little While (feat. Big Sean & Hit-Boy),219192
85,2021-06-30 07:29,Drake,What’s Next,178153
86,2021-06-30 07:31,Cardi B,Up,145186
87,2021-06-30 07:34,Migos,Need It,195680
88,2021-06-30 07:35,2 Chainz,Grey Area,35554
89,2021-06-30 07:38,Nipsey Hussle,Change Tommorrow,180720
90,2021-06-30 07:49,Bone Thugs-N-Harmony,Lifes Been Good,275667
91,2021-06-30 08:00,FT News Briefing,Inside the secretive private equity firm behind the £6.8bn Asda buyout,604810
92,2021-06-30 08:03,Kendrick Lamar,Cartoon,169157
93,2021-06-30 22:58,Kendrick Lamar,Cartoon,28212
94,2021-07-01 17:17,Kendrick Lamar,Cartoon,22012
95,2021-07-01 17:18,Savages,Viva la Vida,81142
96,2021-07-01 17:21,Marcus D,Elevator - Remastered,181395
97,2021-07-01 17:23,Ol' Burger Beats,So They Say,115650
98,2021-07-01 17:24,Jazzinuf,Jazzy's Joint,39950
99,2021-07-01 17:27,Cloudchord,Bopatron,180707
100,2021-07-01 17:29,Shuko,Do the Right Thing,96358
101,2021-07-01 17:31,Peter Kind,Hello,117023
102,2021-07-01 17:32,Kreaem,The Sun & the Moon,88700
103,2021-07-01 17:34,Diamond D,Only Way 2 Go (Instrumental),138735
104,2021-07-01 17:36,Knowsum,poopoop,89722
105,2021-07-01 17:37,Figub Brazlevic,Fainting Of Rejection,80441
106,2021-07-01 17:38,Savages,Viva la Vida,81142
107,2021-07-01 17:40,Coastal,Sea Ridge,122644
108,2021-07-01 17:45,Thelonious Coltrane,Education,259999
109,2021-07-01 17:46,Deauxnuts,Origami,109250
110,2021-07-01 17:48,Eric Lau,Its Rainy,119072
111,2021-07-01 17:51,Kiefer,Superhero,154004
112,2021-07-01 17:52,High John,Love Letter,92794
113,2021-07-01 17:54,Deauxnuts,Origami,109428
114,2021-07-01 17:57,Marcus D,Elevator - Remastered,181500
115,2021-07-01 17:59,Ol' Burger Beats,So They Say,115650
116,2021-07-01 18:02,Soul Food Horns,Oak,167354
117,2021-07-01 18:04,Shuko,Crooklyn,95868
118,2021-07-01 18:06,Tha Audio Unit,Newjerseydrive,122727
119,2021-07-01 18:09,Styn,White Tea,83678
120,2021-07-01 18:09,Stan Forebee,Dilladong,126928
121,2021-07-01 20:49,Jay Dee,Think Twice - DJ Muro's KG Mix,213877
122,2021-07-01 20:51,Jazzinuf,Jazzy's Joint,129034
123,2021-07-01 20:53,Shuko,Do the Right Thing,97527
124,2021-07-01 20:54,Ra Ra Raj,Meditations on Guitar,89739
125,2021-07-01 20:55,Styn,White Tea,72513
126,2021-07-01 20:57,Epifania,Caffeine,76046
127,2021-07-01 21:00,J Dilla,Sometimes - Remix Instrumental,210054
128,2021-07-01 21:02,Beats by Egomi,Come Back to You,133661
129,2021-07-01 21:04,Khutko,Camberwell,108043
130,2021-07-01 21:06,DJ Garlik,Favorite Sause,90933
131,2021-07-01 21:08,Funky DL,Fanatic - Instrumental,173384
132,2021-07-01 21:11,Bugseed,Singing sad,157870
133,2021-07-01 21:14,Kan Sano,DT pt.3,155799
134,2021-07-01 21:15,Khutko,Camberwell,107940
135,2021-07-01 21:17,Tha Audio Unit,Newjerseydrive,122712
136,2021-07-01 21:19,lisnn,Warmer Together,125364
137,2021-07-01 21:22,Marcus D,Elevator - Remastered,181481
138,2021-07-01 21:24,Epifania,Caffeine,76030
139,2021-07-01 21:25,Ra Ra Raj,Meditations on Guitar,89754
140,2021-07-01 21:28,Slum Village,Fall In Love - Instrumental,178204
141,2021-07-01 21:30,Es-K,What It Used To Be,138321
142,2021-07-01 21:33,Large Professor,Sewin' Love - Instrumental,161752
143,2021-07-01 21:36,Soul Food Horns,Oak,167209
144,2021-07-01 21:37,Casiio,Ol' Chip,56653
145,2021-07-01 21:39,Soul Food Horns,Black Tea,153574
146,2021-07-01 21:41,High John,Love Letter,92894
147,2021-07-01 21:41,SamTRax,Mixed Emotions,12620
148,2021-07-01 21:43,Kiefer,Superhero,157160
149,2021-07-01 21:46,Dylan Sitts,Carpet,127956
150,2021-07-01 21:48,DJ Mitsu The Beats,Libration,174924
151,2021-07-01 21:50,SoulChef,Once Again - Instrumental,109086
152,2021-07-01 21:53,Hazy Year,Notes,147435
153,2021-07-01 21:54,Glimlip,Umlati,94962
154,2021-07-01 21:55,J Dilla,Yesterday,58844
155,2021-07-01 21:57,Saiko,Nightwatch,130608
156,2021-07-01 21:58,DAO,Abstract Poetic,37964
157,2021-07-03 08:41,DAO,Abstract Poetic,50568
158,2021-07-03 08:43,digitalluc,Ghettos Worldwide,140455
159,2021-07-03 08:45,Kazam,The Hills,106863
160,2021-07-03 08:47,Deauxnuts,Origami,66707
161,2021-07-03 12:12,Deauxnuts,Origami,27051
162,2021-07-03 17:18,Deauxnuts,Origami,27875
163,2021-07-03 17:20,SoulChef,Next to Nothing - Instrumental,110500
164,2021-07-03 17:23,Kan Sano,DT pt.3,173615
165,2021-07-03 17:24,Casiio,Ol' Chip,77406
166,2021-07-03 17:27,Alberto Droguett,Ocean Waves,169090
167,2021-07-03 17:29,twuan,SERENADE,110324
168,2021-07-03 17:31,Beats by Egomi,Come Back to You,140694
169,2021-07-03 17:34,Mr. Käfer,One For,138092
170,2021-07-03 17:36,L One,Pack It,136601
171,2021-07-03 17:38,Jazzinuf,Mental Acupuncture,129380
172,2021-07-03 17:39,Eric Lau,Its Rainy,37806
173,2021-07-04 08:10,Fleet Foxes,Wading In Waist-High Water,135013
174,2021-07-04 08:13,Fleet Foxes,I'm Not My Season,191400
175,2021-07-04 08:17,Fleet Foxes,Sunblind,253613
176,2021-07-04 08:19,Fleet Foxes,For A Week Or Two,131506
177,2021-07-04 08:22,Fleet Foxes,Maestranza,183373
178,2021-07-04 08:27,Fleet Foxes,A Long Way Past The Past,239666
179,2021-07-04 08:30,Fleet Foxes,Young Man's Game,191680
180,2021-07-04 08:34,Fleet Foxes,Quiet Air / Gioia,267760
181,2021-07-04 08:34,Fleet Foxes,Shore,11761
182,2021-07-04 17:48,Fleet Foxes,Shore,248176
183,2021-07-04 17:49,Fleet Foxes,Can I Believe You,90729
